,Dummy,EST_CV,EST_NCV,SARIMA_CV
astro-ph.CO,0.5105928079318233,0.5702426148358581,0.5619562738434792,0.4663195305943022
astro-ph.EP,0.8570713095327017,0.8491975409654228,0.839465003570476,0.845528540957538
astro-ph.GA,0.7797325393510701,0.8161176162957644,0.8159654708035106,0.7933294241001411
astro-ph.HE,0.7306745917849526,0.7601952847240786,0.7246215620834944,0.7070971827297143
astro-ph.IM,0.9788906443741323,0.9311796624544977,0.959255087820901,0.9289678320315369
astro-ph.SR,0.614869550734417,0.6389118003820745,0.6316324937072288,0.6039583455674565
cond-mat.dis-nn,0.7282444398361065,0.6997104248586529,0.7238035756013751,0.7112376585493113
cond-mat.mes-hall,0.4529251080694048,0.355890316865626,0.3952267167410724,0.3593706716031482
cond-mat.mtrl-sci,0.662575414191671,0.48424371478174943,0.5158226032373678,0.5260186511583138
cond-mat.other,0.5698342263267943,0.5659248199026902,0.6099733228980235,0.5704617780729937
cond-mat.quant-gas,0.7283600370478038,0.7351038214403566,0.7516950807937408,0.7294548416314003
cond-mat.soft,0.525651517774022,0.5013838173009756,0.5187838498973304,0.51565815503479
cond-mat.stat-mech,0.4318318385296616,0.43131639583073084,0.4330385185816318,0.4318887867285683
cond-mat.str-el,0.4475102464924599,0.4189905528425471,0.43266543259292123,0.42502659747098037
cond-mat.supr-con,0.525040877906985,0.5174620471003607,0.567954235742982,0.5184388338584259
cs.AI,2.805882074998972,2.340587913332858,2.0659557723244735,2.0805410199272742
cs.AR,2.9726747863481413,2.488252654706543,2.796578299262716,2.478478801888196
cs.CC,1.2270244938686525,1.3569225819125514,1.3504681713290876,1.3022099674740013
cs.CE,2.368760475529203,2.031630970703663,2.049772097724253,2.032039047548991
cs.CG,1.6319006126235869,1.5889897345575215,1.6073487218048341,1.5520390119767293
cs.CL,3.1301742129181607,3.604761167531614,2.7092937574230658,3.3048289827323254
cs.CR,1.6448189211700537,1.2861726033640084,1.3053561577807102,1.2586479126975667
