,dummy,t_reg,day_reg,mday_reg,tday_reg,gbrt,prophet,prophet_full
astro-ph.CO,0.5105928079318233,0.5111111257865646,0.46399220091866794,0.5809689038843916,0.4652666471808335,1.6630326346287454,1.483158947091074,0.4324566323450873
astro-ph.EP,0.8570713095327017,0.8787273838432382,0.8375207244858028,0.8550758369629063,0.8586515272371301,1.9034371425577534,1.7682742706712216,0.783601701463385
astro-ph.GA,0.7797325393510701,0.7637162271560942,0.7503313235328823,0.8704794426985255,0.7349920566640913,2.302193075049122,2.2258450892663504,0.7112230080200116
astro-ph.HE,0.7306745917849526,0.7287613036680942,0.688844924663747,0.7939611166078874,0.6866316414649513,2.140697001371021,2.1495683952623983,0.6528048057118981
astro-ph.IM,0.9788906443741323,1.0352593563112722,0.9294181344814387,0.9445765839933936,0.9821275533157828,2.360879897299191,2.2232180110839597,0.8810112869098566
astro-ph.SR,0.614869550734417,0.5993931011648832,0.5807621414360771,0.6266189697049527,0.5643371206363137,1.674884929084307,1.5450686254479054,0.5605831837614585
cond-mat.dis-nn,0.7282444398361065,0.7300124279212908,0.6959085596422009,0.725627950967683,0.6962818995993386,1.6194317163088818,1.4629756690584883,0.6811746683377418
cond-mat.mes-hall,0.4529251080694048,0.4577381592903667,0.35588999356448814,0.39432431628054987,0.3614909527723849,1.530050350127869,1.5191105409019696,0.3817375898819666
cond-mat.mtrl-sci,0.662575414191671,0.693377190669383,0.5334614592881344,0.5444624213288084,0.5741971302006247,2.0672861515162517,2.1627422219599093,0.5725223907380725
cond-mat.other,0.5698342263267943,0.585752891780709,0.5600082562528867,0.6131634431824057,0.5797592118151293,1.0858230259385704,1.1053434618007294,0.5294274393162351
cond-mat.quant-gas,0.7283600370478038,0.7314053335467471,0.7188939464476616,0.7564827090461473,0.7207609466030783,1.7614122620681585,1.5767448910992774,0.6749156535609201
cond-mat.soft,0.525651517774022,0.5320352128466401,0.4986284850200586,0.5278726484767732,0.5027622920665559,1.5759870215628702,1.468816660862471,0.485174600860593
cond-mat.stat-mech,0.4318318385296616,0.42887620962113676,0.417506621995554,0.45986756539673135,0.4137935491396448,1.3971921575539037,1.2439686904225633,0.3946665189846592
cond-mat.str-el,0.4475102464924599,0.452381630061666,0.4128296529236883,0.4142511781893318,0.4185535939750709,1.4785637296755263,1.4403874105275802,0.385249006812285
cond-mat.supr-con,0.525040877906985,0.5182791649284653,0.5174612404222159,0.5522194572614125,0.5107197277664772,1.177449680867024,1.1770701548243836,0.4698217577449379
cs.AI,2.805882074998972,2.9354266165601204,2.152737703360427,2.014304526097574,2.3300911111430893,7.4531208732695475,8.005227222864166,2.6542869696360274
cs.AR,2.9726747863481413,3.013892303238639,2.490971744586477,2.6713288378810613,2.5465531732211635,5.869340606447952,6.221400229018815,2.868839263557708
cs.CC,1.2270244938686525,1.1688402596161018,1.176476967802446,1.1297315348845332,1.1168175442266217,1.9075618008235744,1.9813519709660505,1.1195537612111586
cs.CE,2.368760475529203,2.3929003748984954,1.994676162479772,2.1236146979307424,2.0232506785294535,4.726743202702119,4.823907350885437,2.3158631851452114
cs.CG,1.6319006126235869,1.6308846836628075,1.550973454619178,1.5860426782239756,1.5506618970682724,1.5506686875990376,1.6648580243076787,1.4977303641226198
cs.CL,3.1301742129181607,3.461085133198399,2.8237813557523626,2.43902381601356,3.1994445288872653,6.511135648889033,6.952962189981372,2.854533077058246
