,dummy,t_reg,day_reg,tday_reg
astro-ph.CO,0.5117039275993666,0.5127485978397507,0.46554285724519934,0.4673468543582497
astro-ph.EP,0.8570713095327017,0.8787273838432382,0.8375207244858028,0.8586515272371301
astro-ph.GA,0.7797325393510701,0.7637162271560942,0.7503313235328823,0.7349920566640913
astro-ph.HE,0.730560531083529,0.7284957453748275,0.6884207027372448,0.686036049571605
astro-ph.IM,0.9790209513154963,1.0357377804827108,0.9296261227714133,0.9826866015964377
astro-ph.SR,0.6148598521705705,0.599383646716775,0.5807529808609574,0.5643282191390955
cond-mat.dis-nn,0.7283120277411251,0.7301963263505361,0.6952716079045964,0.6957054082982995
cond-mat.mes-hall,0.4529251080694048,0.4577381592903667,0.35588999356448814,0.3614909527723849
cond-mat.mtrl-sci,0.663584194721173,0.6946883652126188,0.5348809842348965,0.5758967976825965
cond-mat.other,0.5738938437620971,0.5901189340693265,0.5598840528256214,0.5802352019470625
cond-mat.quant-gas,0.7283600370478038,0.7314053335467471,0.7188939464476616,0.7207609466030783
cond-mat.soft,0.525651517774022,0.5320352128466401,0.4986284850200586,0.5027622920665559
cond-mat.stat-mech,0.43205165453406197,0.42898959229017847,0.41786653722167977,0.41402805466997855
cond-mat.str-el,0.4493677739205447,0.4540277967798852,0.41525254701791464,0.420762593603576
cond-mat.supr-con,0.525040877906985,0.5182791649284653,0.5174612404222159,0.5107197277664772
cs.AI,2.8143342808211234,2.9465295447172615,2.1604112685620276,2.3407997217884144
cs.AR,2.9836352816054856,3.0263839561702928,2.500084704400462,2.557552319030963
cs.CC,1.2110248823412364,1.1570428451625072,1.1713203810005894,1.1170645886978834
cs.CE,2.3601865788856844,2.3879367544411356,1.9862770984534608,2.019670702729067
cs.CG,1.6314470549213569,1.630431408319933,1.5505423891787615,1.5502309182197267
cs.CL,3.129036159569378,3.460485203275621,2.823243507263438,3.1993923062083844
cs.CR,1.6439974037960072,1.6685250757971162,1.262916972163431,1.2969335696885744
cs.CV,2.1758418067216527,2.1492822845605475,1.6994943710313164,1.6578595409195749
cs.CY,2.094403826492533,2.2542974143031422,1.7041213965858473,1.9055208550775673
cs.DB,1.7002413335184656,1.7541624534561457,1.521404281748102,1.5940980162484344
cs.DC,1.3727816337537224,1.4184514713210807,1.0676570815274808,1.1275994016255062
cs.DL,2.103388604526063,2.1421382388285153,2.150169297554804,2.196560898843857
cs.DM,1.0280617313637432,1.062579320358879,0.9982580024792099,1.0346409582742475
cs.DS,1.1112106562748805,1.072954298435884,1.0187556716733026,0.9774225868254461
cs.ET,2.7111026122316835,2.738906556285735,2.5514207727519937,2.5697770401754014
cs.FL,1.5240429539692073,1.558102028402413,1.567888839830544,1.6008325212613443
cs.GL,3.2371469505616584,3.382569357888017,3.3593315712608605,3.4550805633768693
cs.GR,3.4383824800992766,3.396318780212691,3.3161465265216084,3.2756726632869975
cs.GT,1.90966887757915,1.9793808056163877,1.740988067278554,1.8206149905508786
cs.HC,2.699979501070866,2.6343821958660367,2.2508200799433022,2.1845938589806346
cs.IR,1.9318339122925325,1.9244205591840233,1.6369969502165573,1.6301424943521936
cs.IT,0.8137118079905139,0.852133841227642,0.688094444634623,0.7425222985533056
cs.LG,1.6922384079610484,1.8289418317350905,1.33241937682184,1.5027541554490447
cs.LO,1.5200296851831445,1.5865709370747583,1.4951331036207587,1.566652968615695
cs.MA,2.795702305460682,3.0913806474013854,2.6104310739681384,2.9308244187898542
cs.MM,2.735209550624831,2.889675882839678,2.6283850716245323,2.773489874953215
cs.MS,2.1064037684876524,2.118081950087156,2.180556893604642,2.187613380302767
cs.NA,1.5720124280229733,1.566960902028813,1.1701653291262875,1.1680201845236295
cs.NE,1.2384277444227767,1.2555818960225196,0.9897759690711793,1.0019654956043544
cs.NI,1.138957797568763,1.1656351655985562,0.8885277856611492,0.926467093012157
cs.OH,1.1396797220396413,1.137184565756883,1.1054717022975833,1.1025711868921004
cs.OS,5.314920259875587,5.506669193102851,5.442392124102938,5.643284379538695
cs.PF,2.074613847173429,2.2347886827398673,2.0689888349726124,2.2371309603202416
cs.PL,1.974242886447989,1.9669346952163422,1.9689737822181639,1.9627507893933698
cs.RO,2.6511360529186807,2.5103468369944006,2.3934918575524513,2.251845354707966
cs.SC,2.649834409018551,2.703574816750125,2.654849805988175,2.7102761955068426
cs.SD,1.7660197621070925,2.3846542073675385,1.5438827960991202,2.1907790009237638
cs.SE,2.0676733929236644,2.074476612509579,1.9779064742988048,1.999966350198576
cs.SI,1.1845534286711106,1.2167318041948787,1.0471174749245005,1.0850137463218457
cs.SY,1.366851899056177,1.3378247883525327,1.1261984607348499,1.096950365000634
econ.EM,2.67038459221285,2.6818759440707374,2.3363019058873746,2.3499780074536805
econ.GN,2.793269511004923,3.0040389419868823,2.736350057701467,2.9585567727054465
econ.TH,4.456403507402731,4.643392886771359,4.242914536293295,4.440443325956467
eess.AS,2.2154351532917187,3.007407033603737,1.9350291811227387,2.7797224623421224
eess.IV,1.7272935242890983,1.7392201354070678,1.5197023712694886,1.5275199067454746
eess.SP,1.7324086665939884,1.7374362134691606,1.2872505743763176,1.3052266586985584
eess.SY,1.7533464043314808,1.7131770065681116,1.4420099689037071,1.4007311705863932
gr-qc,0.47151487578934703,0.460156248202756,0.4310141709927305,0.41801448793009877
hep-ex,0.6199414515466897,0.6434435552559867,0.5786802459382384,0.6042173732743532
hep-lat,1.22746284429772,1.4488138167558842,1.1735894812378693,1.4090894972189532
hep-ph,0.4123398775226686,0.4073506542206083,0.3616077474805404,0.3559268525471795
hep-th,0.4289985274856317,0.4181182834000192,0.40416697827122644,0.3913544169841968
math-ph,0.486349929721433,0.4970837863876364,0.4453187810760604,0.4537185896160362
math.AC,0.8026119060930127,0.8278686859633719,0.7599562968327592,0.7887927184837683
math.AG,0.5845548813030496,0.6013307611060748,0.4868823220158992,0.5068378781542344
math.AP,0.6829446883719381,0.6839371783710357,0.5232485136038868,0.5289153164721043
math.AT,0.7803559775676489,0.7819644235311307,0.7501885047834346,0.7482228950302247
math.CA,0.9190704026308082,0.9286102799742468,0.8415317087474372,0.8557704015822531
