,Dummy,Weekday_Linear,EST_NCV,EST_CV,SARIMA_CV,Prophet,Prophet_Full
astro-ph.CO,0.5117039275993666,0.46554285724519934,0.5629581877101562,0.5720549737957163,0.46801086783674045,0.5434880449390967,0.5059903822145679
astro-ph.EP,0.8570713095327017,0.8375207244858028,0.839465003570476,0.8491975409654228,0.845528540957538,0.8891598367728897,0.8460455749646602
astro-ph.GA,0.7797325393510701,0.7503313235328823,0.8159654708035106,0.8161176162957644,0.7933294241001411,0.8067898668509396,0.7822552832657823
astro-ph.HE,0.730560531083529,0.6884207027372448,0.7248974228318531,0.7600320456518109,0.7064839071077896,0.7551097856611345,0.7272196636415209
astro-ph.IM,0.9790209513154963,0.9296261227714132,0.9592082707550275,0.9309426062382647,0.9291757406638189,0.9761682934517794,0.9511355519550001
astro-ph.SR,0.6148598521705705,0.5807529808609574,0.6316225307353099,0.638901722590971,0.6039488191100671,0.6455795551871083,0.6116522374696386
cond-mat.dis-nn,0.7283120277411251,0.6952716079045964,0.7228548707413056,0.6995869810187355,0.7104750085534974,0.7528849416286362,0.7299246720789273
cond-mat.mes-hall,0.4529251080694048,0.3558899935644881,0.3952267167410724,0.355890316865626,0.3593706716031482,0.4547971813706719,0.4671091171512388
cond-mat.mtrl-sci,0.663584194721173,0.5348809842348965,0.5165321997840432,0.48435653216940633,0.5273985292309862,0.6393660381165526,0.672684367342355
cond-mat.other,0.5738938437620971,0.5598840528256214,0.6087029513203118,0.5659590060558605,0.5707877939404088,0.5880217147100442,0.5686623896309217
cond-mat.quant-gas,0.7283600370478038,0.7188939464476616,0.7516950807937408,0.7351038214403566,0.7294548416314003,0.7385201676961037,0.7143379339121295
cond-mat.soft,0.525651517774022,0.4986284850200586,0.5187838498973304,0.5013838173009756,0.51565815503479,0.5508179302762563,0.5237161635208774
cond-mat.stat-mech,0.43205165453406197,0.41786653722167977,0.43302933546468464,0.432057259009859,0.4320973591701487,0.4457346351439477,0.43344004883199644
cond-mat.str-el,0.4493677739205447,0.4152525470179146,0.43680444252202444,0.42192129643523074,0.42725253711281974,0.4454104099531693,0.4426569893843023
cond-mat.supr-con,0.525040877906985,0.517461240422216,0.567954235742982,0.5174620471003607,0.5184388338584259,0.5362907754592644,0.5238763893596022
cs.AI,2.8143342808211234,2.1604112685620285,2.0673713598168746,2.360747119028419,2.088368891091732,2.7990131580364386,2.8322876275593627
cs.AR,2.9836352816054856,2.500084704400462,2.797229649997738,2.494868674658807,2.4851257125112314,3.0187758614383076,2.9975530948113307
cs.CC,1.2110248823412364,1.1713203810005894,1.3540566777970242,1.3631385602363955,1.2951845770349864,1.4408682447007886,1.1921912717968732
cs.CE,2.3601865788856844,1.9862770984534603,2.0406032982762583,2.0213655519442044,2.0241188591095463,2.4138473069033504,2.4226861185961517
cs.CG,1.6314470549213569,1.550542389178761,1.606901987863254,1.5885481031693731,1.5516076503836287,1.6542700370609802,1.6226353591693596
