,Dummy,EST_CV,EST_NCV,Prophet,Prophet_Full,SARIMA_CV,Weekday_Linear
astro-ph.CO,0.5117039275993666,0.5720549737957163,0.5629581877101562,0.5434880449390967,0.5059903822145679,0.4680108678367404,0.4655428572451993
astro-ph.EP,0.8570713095327017,0.8491975409654228,0.839465003570476,0.8891598367728897,0.8460455749646602,0.845528540957538,0.8375207244858028
astro-ph.GA,0.7797325393510701,0.8161176162957644,0.8159654708035106,0.8067898668509396,0.7822552832657823,0.7933294241001411,0.7503313235328823
astro-ph.HE,0.730560531083529,0.7600320456518109,0.7248974228318531,0.7551097856611345,0.7272196636415209,0.7064839071077896,0.6884207027372448
astro-ph.IM,0.9790209513154964,0.9309426062382647,0.9592082707550276,0.9761682934517794,0.951135551955,0.9291757406638188,0.9296261227714132
astro-ph.SR,0.6148598521705705,0.638901722590971,0.6316225307353099,0.6455795551871083,0.6116522374696386,0.6039488191100671,0.5807529808609574
cond-mat.dis-nn,0.7283120277411251,0.6995869810187355,0.7228548707413056,0.7528849416286362,0.7299246720789273,0.7104750085534974,0.6952716079045964
cond-mat.mes-hall,0.4529251080694048,0.355890316865626,0.3952267167410724,0.4547971813706719,0.4671091171512388,0.3593706716031482,0.3558899935644881
cond-mat.mtrl-sci,0.663584194721173,0.4843565321694063,0.5165321997840432,0.6393660381165526,0.672684367342355,0.5273985292309862,0.5348809842348965
cond-mat.other,0.5738938437620971,0.5659590060558605,0.6087029513203118,0.5880217147100442,0.5686623896309217,0.5707877939404088,0.5598840528256214
cond-mat.quant-gas,0.7283600370478038,0.7351038214403566,0.7516950807937408,0.7385201676961037,0.7143379339121295,0.7294548416314003,0.7188939464476616
cond-mat.soft,0.525651517774022,0.5013838173009756,0.5187838498973304,0.5508179302762563,0.5237161635208774,0.51565815503479,0.4986284850200586
cond-mat.stat-mech,0.4320516545340619,0.432057259009859,0.4330293354646846,0.4457346351439477,0.4334400488319964,0.4320973591701487,0.4178665372216797
cond-mat.str-el,0.4493677739205447,0.4219212964352307,0.4368044425220244,0.4454104099531693,0.4426569893843023,0.4272525371128197,0.4152525470179146
cond-mat.supr-con,0.525040877906985,0.5174620471003607,0.567954235742982,0.5362907754592644,0.5238763893596022,0.5184388338584259,0.517461240422216
cs.AI,2.814334280821124,2.360747119028419,2.0673713598168746,2.7990131580364386,2.8322876275593627,2.088368891091732,2.1604112685620285
cs.AR,2.9836352816054856,2.494868674658807,2.797229649997738,3.018775861438308,2.9975530948113307,2.485125712511232,2.500084704400462
cs.CC,1.2110248823412364,1.3631385602363957,1.3540566777970242,1.4408682447007886,1.1921912717968732,1.2951845770349864,1.1713203810005894
cs.CE,2.3601865788856844,2.0213655519442044,2.0406032982762583,2.4138473069033504,2.422686118596152,2.0241188591095463,1.9862770984534603
cs.CG,1.6314470549213569,1.5885481031693731,1.606901987863254,1.6542700370609802,1.6226353591693596,1.5516076503836287,1.550542389178761
cs.CL,3.129036159569378,3.6014540966091544,2.706560696172581,3.026844951477816,2.9929627401000864,3.301133423533376,2.823243507263438
cs.CR,1.6439974037960072,1.274041212567824,1.2917376180859417,1.635627980407521,1.6358134660770818,1.2527963718579147,1.2629169721634317
cs.CV,2.1758418067216527,1.8644589817184365,1.765841219458372,2.2863961377285125,2.138969068342607,1.778158881367473,1.6994943710313164
cs.CY,2.094403826492533,1.5942945089040288,1.5604072819627854,1.9785831650504215,2.1713413306946725,1.5591607987107554,1.7041213965858473
cs.DB,1.7002413335184656,1.6370939571340628,1.5409106913628423,1.6923209625759617,1.7342882679488103,1.5515367423359347,1.521404281748102
cs.DC,1.3727816337537224,1.0493782213951743,1.054993671698573,1.3511560121627595,1.3784954324264898,1.084583203298129,1.0676570815274808
cs.DL,2.103388604526063,2.150169630509214,2.1886154165355967,2.1143626450232085,2.139181468568941,2.1565859058297625,2.150169297554804
cs.DM,1.0280617313637432,0.9832594701222844,1.0102216684255354,1.0049184226569738,1.0140551337155892,0.9971513612508712,0.99825800247921
cs.DS,1.1112106562748805,1.0596571880965946,0.9790366078198977,1.197564341566908,1.0984021740436416,1.178167286989279,1.0187556716733026
cs.ET,2.7111026122316835,2.5514237144160505,2.6960942056691546,2.756850526999856,2.854129503756321,2.5532094411420263,2.551420772751994
cs.FL,1.5240429539692073,1.5960881419820208,1.5397838323691284,1.5282646068860657,1.5106881245736692,1.5058933661819771,1.5678888398305442
